t:      g:         g':       Integral:
33.9   -4.44166e-008   1.84669e-009   9.99167
34   -4.40265e-008   5.88208e-009   9.99167
34.1   -4.32549e-008   9.47753e-009   9.99167
34.2   -4.21454e-008   1.26407e-008   9.99167
34.3   -4.07408e-008   1.53827e-008   9.99167
34.4   -3.90825e-008   1.77175e-008   9.99167
34.5   -3.72103e-008   1.96616e-008   9.99167
34.6   -3.51626e-008   2.12338e-008   9.99167
34.7   -3.29753e-008   2.24544e-008   9.99167
34.8   -3.06827e-008   2.33454e-008   9.99167
34.9   -2.83164e-008   2.39297e-008   9.99167
35   -2.59062e-008   2.42308e-008   9.99167
35.1   -2.34789e-008   2.42728e-008   9.99167
35.2   -2.10594e-008   2.40801e-008   9.99167
35.3   -1.86699e-008   2.36767e-008   9.99167
35.4   -1.63303e-008   2.30866e-008   9.99167
35.5   -1.40581e-008   2.23332e-008   9.99167
35.6   -1.18684e-008   2.1439e-008   9.99167
35.7   -9.7742e-009   2.04262e-008   9.99167
35.8   -7.78639e-009   1.93155e-008   9.99167
35.9   -5.91371e-009   1.81268e-008   9.99167
36   -4.16301e-009   1.68789e-008   9.99167
36.1   -2.53932e-009   1.55892e-008   9.99167
36.2   -1.046e-009   1.42741e-008   9.99167
36.3   3.1515e-010   1.29484e-008   9.99167
36.4   1.54378e-009   1.16257e-008   9.99167
36.5   2.64081e-009   1.03184e-008   9.99167
36.6   3.60833e-009   9.03731e-009   9.99167
36.7   4.44947e-009   7.79224e-009   9.99167
36.8   5.16826e-009   6.59157e-009   9.99167
36.9   5.76951e-009   5.44248e-009   9.99167
37   6.25868e-009   4.35098e-009   9.99167
37.1   6.64179e-009   3.32199e-009   9.99167
37.2   6.92529e-009   2.35934e-009   9.99167
37.3   7.11597e-009   1.46585e-009   9.99167
37.4   7.22083e-009   6.4346e-010   9.99167
37.5   7.24707e-009   -1.06791e-010   9.99167
37.6   7.20189e-009   -7.8463e-010   9.99167
37.7   7.09254e-009   -1.3905e-009   9.99167
37.8   6.92616e-009   -1.9255e-009   9.99167
37.9   6.70975e-009   -2.39128e-009   9.99167
38   6.45014e-009   -2.78999e-009   9.99167
38.1   6.1539e-009   -3.12424e-009   9.99167
38.2   5.82734e-009   -3.39697e-009   9.99167
38.3   5.47645e-009   -3.61144e-009   9.99167
38.4   5.10688e-009   -3.77117e-009   9.99167
38.5   4.72392e-009   -3.87984e-009   9.99167
38.6   4.33248e-009   -3.94128e-009   9.99167
38.7   3.93711e-009   -3.9594e-009   9.99167
38.8   3.54192e-009   -3.93814e-009   9.99167
38.9   3.15066e-009   -3.88146e-009   9.99167
39   2.76667e-009   -3.79327e-009   9.99167
39.1   2.39293e-009   -3.67741e-009   9.99167
39.2   2.03199e-009   -3.5376e-009   9.99167
39.3   1.68608e-009   -3.37747e-009   9.99167
39.4   1.35706e-009   -3.20045e-009   9.99167
39.5   1.04644e-009   -3.00985e-009   9.99167
39.6   7.55438e-010   -2.80877e-009   9.99167
39.7   4.84941e-010   -2.60012e-009   9.99167
39.8   2.35575e-010   -2.3866e-009   9.99167
39.9   7.69864e-012   -2.17071e-009   9.99167
40   -1.98565e-010   -1.95473e-009   9.99167
40.1   -3.83313e-010   -1.74071e-009   9.99167
40.2   -5.46834e-010   -1.5305e-009   9.99167
40.3   -6.89595e-010   -1.32575e-009   9.99167
40.4   -8.12214e-010   -1.12788e-009   9.99167
40.5   -9.15441e-010   -9.38107e-010   9.99167
40.6   -1.00014e-009   -7.57478e-010   9.99167
40.7   -1.06727e-009   -5.86836e-010   9.99167
40.8   -1.11786e-009   -4.26853e-010   9.99167
40.9   -1.15301e-009   -2.78035e-010   9.99167
41   -1.17385e-009   -1.40736e-010   9.99167
41.1   -1.18155e-009   -1.51638e-011   9.99167
41.2   -1.17728e-009   9.86024e-011   9.99167
41.3   -1.16222e-009   2.00605e-010   9.99167
41.4   -1.13755e-009   2.90993e-010   9.99167
41.5   -1.1044e-009   3.70013e-010   9.99167
41.6   -1.06391e-009   4.37995e-010   9.99167
41.7   -1.01716e-009   4.95343e-010   9.99167
41.8   -9.65184e-010   5.42523e-010   9.99167
41.9   -9.08977e-010   5.80056e-010   9.99167
42   -8.49476e-010   6.08501e-010   9.99167
42.1   -7.8756e-010   6.28453e-010   9.99167
42.2   -7.24048e-010   6.40532e-010   9.99167
42.3   -6.59695e-010   6.4537e-010   9.99167
42.4   -5.95194e-010   6.43612e-010   9.99167
42.5   -5.31171e-010   6.35901e-010   9.99167
42.6   -4.6819e-010   6.22878e-010   9.99167
42.7   -4.06752e-010   6.05171e-010   9.99167
42.8   -3.47292e-010   5.83396e-010   9.99167
42.9   -2.90188e-010   5.58145e-010   9.99167
43   -2.3576e-010   5.2999e-010   9.99167
43.1   -1.84269e-010   4.99475e-010   9.99167
43.2   -1.35926e-010   4.67115e-010   9.99167
43.3   -9.0891e-011   4.33393e-010   9.99167
43.4   -4.92775e-011   3.98759e-010   9.99167
43.5   -1.11555e-011   3.6363e-010   9.99167
43.6   2.34447e-011   3.28386e-010   9.99167
43.7   5.45294e-011   2.93373e-010   9.99167
43.8   8.21376e-011   2.58903e-010   9.99167
43.9   1.06337e-010   2.25251e-010   9.99167
44   1.27223e-010   1.9266e-010   9.99167
44.1   1.44912e-010   1.61339e-010   9.99167
44.2   1.59539e-010   1.31464e-010   9.99167
44.3   1.71258e-010   1.03182e-010   9.99167
44.4   1.80233e-010   7.66104e-011   9.99167
44.5   1.8664e-010   5.18389e-011   9.99167
44.6   1.90663e-010   2.89319e-011   9.99167
44.7   1.9249e-010   7.92963e-012   9.99167
44.8   1.92313e-010   -1.11494e-011   9.99167
44.9   1.90324e-010   -2.83068e-011   9.99167
45   1.86715e-010   -4.35623e-011   9.99167
45.1   1.81674e-010   -5.69519e-011   9.99167
45.2   1.75385e-010   -6.85257e-011   9.99167
45.3   1.68027e-010   -7.83466e-011   9.99167
45.4   1.59772e-010   -8.6488e-011   9.99167
45.5   1.50783e-010   -9.30322e-011   9.99167
45.6   1.41216e-010   -9.80691e-011   9.99167
45.7   1.31216e-010   -1.01694e-010   9.99167
45.8   1.20921e-010   -1.04007e-010   9.99167
45.9   1.10455e-010   -1.05112e-010   9.99167
46   9.99351e-011   -1.05111e-010   9.99167
46.1   8.94661e-011   -1.04111e-010   9.99167
46.2   7.91427e-011   -1.02217e-010   9.99167
46.3   6.90491e-011   -9.95306e-011   9.99167
46.4   5.92596e-011   -9.61537e-011   9.99167
46.5   4.98382e-011   -9.21839e-011   9.99167
46.6   4.08394e-011   -8.77153e-011   9.99167
46.7   3.23087e-011   -8.28379e-011   9.99167
46.8   2.42826e-011   -7.76371e-011   9.99167
46.9   1.67894e-011   -7.21929e-011   9.99167
47   9.84962e-012   -6.65804e-011   9.99167
47.1   3.47659e-012   -6.08689e-011   9.99167
47.2   -2.32301e-012   -5.51222e-011   9.99167
47.3   -7.54863e-012   -4.93983e-011   9.99167
47.4   -1.22052e-011   -4.37493e-011   9.99167
47.5   -1.63026e-011   -3.8222e-011   9.99167
47.6   -1.9855e-011   -3.28572e-011   9.99167
47.7   -2.28806e-011   -2.76905e-011   9.99167
47.8   -2.54007e-011   -2.27522e-011   9.99167
47.9   -2.74395e-011   -1.80675e-011   9.99167
48   -2.90234e-011   -1.36568e-011   9.99167
48.1   -3.01805e-011   -9.536e-012   9.99167
48.2   -3.09406e-011   -5.71667e-012   9.99167
48.3   -3.13342e-011   -2.20644e-012   9.99167
48.4   -3.13924e-011   9.90724e-013   9.99167
48.5   -3.11465e-011   3.87422e-012   9.99167
48.6   -3.06279e-011   6.44647e-012   9.99167
48.7   -2.98674e-011   8.71265e-012   9.99167
48.8   -2.88953e-011   1.06803e-011   9.99167
48.9   -2.7741e-011   1.23592e-011   9.99167
49   -2.64327e-011   1.37608e-011   9.99167
49.1   -2.49976e-011   1.48982e-011   9.99167
49.2   -2.34614e-011   1.57857e-011   9.99167
49.3   -2.18483e-011   1.64386e-011   9.99167
49.4   -2.0181e-011   1.68731e-011   9.99167
49.5   -1.84804e-011   1.71058e-011   9.99167
49.6   -1.6766e-011   1.71537e-011   9.99167
49.7   -1.50553e-011   1.7034e-011   9.99167
49.8   -1.33642e-011   1.67637e-011   9.99167
49.9   -1.1707e-011   1.63597e-011   9.99167
50   -1.00962e-011   1.58386e-011   9.99167
50.1   -8.54266e-012   1.52165e-011   9.99167
50.2   -7.05574e-012   1.45089e-011   9.99167
50.3   -5.64323e-012   1.37307e-011   9.99167
50.4   -4.31148e-012   1.2896e-011   9.99167
50.5   -3.06547e-012   1.20181e-011   9.99167
50.6   -1.90889e-012   1.11095e-011   9.99167
50.7   -8.44216e-013   1.01817e-011   9.99167
50.8   1.27166e-013   9.24536e-012   9.99167
50.9   1.0049e-012   8.31025e-012   9.99167
51   1.78955e-012   7.3851e-012   9.99167
51.1   2.48252e-012   6.47778e-012   9.99167
51.2   3.08593e-012   5.5952e-012   9.99167
51.3   3.60259e-012   4.74342e-012   9.99167
51.4   4.03582e-012   3.92758e-012   9.99167
51.5   4.38945e-012   3.15205e-012   9.99167
51.6   4.66769e-012   2.42034e-012   9.99167
51.7   4.87507e-012   1.73525e-012   9.99167
51.8   5.01636e-012   1.09885e-012   9.99167
51.9   5.09651e-012   5.1257e-013   9.99167
52   5.12058e-012   -2.27942e-014   9.99167
52.1   5.09366e-012   -5.06995e-013   9.99167
52.2   5.02088e-012   -9.40297e-013   9.99167
52.3   4.90728e-012   -1.32342e-012   9.99167
52.4   4.75783e-012   -1.65751e-012   9.99167
52.5   4.57736e-012   -1.94404e-012   9.99167
52.6   4.37055e-012   -2.18482e-012   9.99167
52.7   4.14185e-012   -2.38191e-012   9.99167
52.8   3.89554e-012   -2.5376e-012   9.99167
52.9   3.63563e-012   -2.65435e-012   9.99167
53   3.36589e-012   -2.73474e-012   9.99167
53.1   3.08981e-012   -2.78149e-012   9.99167
53.2   2.81062e-012   -2.79734e-012   9.99167
53.3   2.53128e-012   -2.78508e-012   9.99167
53.4   2.25445e-012   -2.7475e-012   9.99167
53.5   1.98253e-012   -2.68738e-012   9.99167
53.6   1.71763e-012   -2.60743e-012   9.99167
53.7   1.46161e-012   -2.51029e-012   9.99167
53.8   1.21606e-012   -2.39853e-012   9.99167
53.9   9.82312e-013   -2.2746e-012   9.99167
54   7.61468e-013   -2.14083e-012   9.99167
54.1   5.544e-013   -1.99944e-012   9.99167
54.2   3.61766e-013   -1.85249e-012   9.99167
54.3   1.84023e-013   -1.70191e-012   9.99167
54.4   2.14448e-014   -1.54948e-012   9.99167
54.5   -1.25866e-013   -1.39682e-012   9.99167
54.6   -2.57961e-013   -1.24541e-012   9.99167
54.7   -3.75033e-013   -1.09656e-012   9.99167
54.8   -4.77399e-013   -9.51454e-013   9.99167
54.9   -5.65483e-013   -8.11108e-013   9.99167
55   -6.39809e-013   -6.76406e-013   9.99167
55.1   -7.00978e-013   -5.48091e-013   9.99167
55.2   -7.49661e-013   -4.26775e-013   9.99167
55.3   -7.86583e-013   -3.12946e-013   9.99167
55.4   -8.12512e-013   -2.06974e-013   9.99167
55.5   -8.28248e-013   -1.09118e-013   9.99167
55.6   -8.34612e-013   -1.95368e-014   9.99167
55.7   -8.32434e-013   6.17053e-014   9.99167
55.8   -8.22548e-013   1.34629e-013   9.99167
55.9   -8.05782e-013   1.99334e-013   9.99167
56   -7.8295e-013   2.55986e-013   9.99167
56.1   -7.54846e-013   3.04812e-013   9.99167
56.2   -7.22239e-013   3.46094e-013   9.99167
56.3   -6.85868e-013   3.80157e-013   9.99167
56.4   -6.46437e-013   4.07363e-013   9.99167
